agent_name,proposed_kind,proposed_owner_domain,source,reason
NarrativeAgent,tool,Executive Intelligence & Governance,registry,on_demand; referenced by intelligence/orchestrator/plannerAgent.ts + coryEngine.ts (planner-callable); 2026-07-31 audit marks reporting_unwired (backend/src/services/agentRegistrySeed.ts:1643); domain: category=reporting
VisualizationAgent,tool,Executive Intelligence & Governance,registry,on_demand; referenced by intelligence/orchestrator/plannerAgent.ts + intelligence/agents/agentRegistry.ts (planner-callable); 2026-07-31 audit marks reporting_unwired (backend/src/services/agentRegistrySeed.ts:1633); domain: category=reporting
CoryBrain,unresolved,Executive Intelligence & Governance,registry,"identity-only row (agent_type=ticket_creator_identity, on_demand, tools_granted=3, reports_to via ticketCreatorIdentitySeed.ts) but NO system_prompt/persona_version -> fails employee rule; not a schedule and not a plain tool (backend/src/services/agentRegistrySeed.ts:2621); domain: category=executive"
WorkforceCareerDirector,behavior,Internship & Career Readiness,registry,cron 20 6 * * * wired at backend/src/services/aiOpsScheduler.ts:343 (backend/src/services/agentRegistrySeed.ts:2224); domain: name=Career
GithubInvitationSweep,behavior,Learner Success (Reese),registry,cron 7 * * * * wired at backend/src/services/schedulerService.ts:1872 (backend/src/services/agentRegistrySeed.ts:2460); domain: category=student_success
ReeseAutonomousOutreachSweep,behavior,Learner Success (Reese),registry,cron 0 15 * * * wired at backend/src/services/schedulerService.ts:1897 (backend/src/services/agentRegistrySeed.ts:2519); domain: module=reese
ReeseOutreachFollowUps,behavior,Learner Success (Reese),registry,cron 0 16 * * * wired at backend/src/services/schedulerService.ts:1914 (backend/src/services/agentRegistrySeed.ts:2536); domain: module=reese
ReesePresenceHeartbeat,behavior,Learner Success (Reese),registry,cron */1 * * * * wired at backend/src/services/agentRegistrySeed.ts:2485 (backend/src/services/agentRegistrySeed.ts:2496); domain: module=reese
ReeseStudentSupportSupersessionResolver,behavior,Learner Success (Reese),registry,cron 0 17 * * * wired at backend/src/services/schedulerService.ts:1933 (backend/src/services/agentRegistrySeed.ts:2563); domain: module=reese
StudentSuccessArchitect,behavior,Learner Success (Reese),registry,cron 28 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:302 (backend/src/services/agentRegistrySeed.ts:1959); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=student_success
WorkforceStudentSuccessDirector,behavior,Learner Success (Reese),registry,cron 0 6 * * * wired at backend/src/services/aiOpsScheduler.ts:341 (backend/src/services/agentRegistrySeed.ts:2202); domain: category=student_success
Reese,employee,Learner Success (Reese),registry,system_prompt=REESE_PERSONA_BLOCK + persona_version=2026-08-06 (backend/src/services/agentRegistrySeed.ts:2427) + reports_to via reeseIdentitySeed.ts:90 (reportsToAgentName=workforce_intelligence_engine); domain: module=reese
StudentBehaviorIntelligenceAgent,retire,Learner Success (Reese),registry,registered trigger_type=cron */30 * * * * but no instrumentCronJob/aiOpsScheduler entry and source_file has 0 importers (crossRef.js importRefs); not in 2026-07-31 audit (backend/src/services/agentRegistrySeed.ts:1065); domain: category=student_success
StudentProgressMonitor,retire,Learner Success (Reese),registry,listed in RETIRED_AGENTS and force-disabled every boot (backend/src/services/agentRegistrySeed.ts:2949 RETIRED_AGENTS); registry row backend/src/services/agentRegistrySeed.ts:382; domain: category=student_success
StudentSuccessReportingAgent,retire,Learner Success (Reese),registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1696); domain: category=student_success"
AiNewsRefresh,behavior,Marketing Intelligence & Brand,registry,cron 15 3 * * * wired at backend/src/services/schedulerService.ts:2002 (backend/src/services/agentRegistrySeed.ts:223); domain: category/name=openclaw|explorer|intel|marketing
CampaignTrafficEnforcement,behavior,Marketing Intelligence & Brand,registry,cron 0 */2 * * * wired at backend/src/services/aiOpsScheduler.ts:450 (backend/src/services/agentRegistrySeed.ts:2405); domain: category/name=openclaw|explorer|intel|marketing
ExplorerContentSync,behavior,Marketing Intelligence & Brand,registry,cron 50 2 * * * wired at backend/src/services/schedulerService.ts:1801 (backend/src/services/agentRegistrySeed.ts:33); domain: category/name=openclaw|explorer|intel|marketing
ExplorerGovernorDecide,behavior,Marketing Intelligence & Brand,registry,cron 50 3 * * * wired at backend/src/services/schedulerService.ts:1777 (backend/src/services/agentRegistrySeed.ts:44); domain: category/name=openclaw|explorer|intel|marketing
ExplorerProfileRecompute,behavior,Marketing Intelligence & Brand,registry,cron 20 3 * * * wired at backend/src/services/schedulerService.ts:1813 (backend/src/services/agentRegistrySeed.ts:55); domain: category/name=openclaw|explorer|intel|marketing
Intel_ai_architecture_breakdown,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/ai_architecture_breakdown.ts:25 (backend/src/services/agentRegistrySeed.ts:242); domain: category/name=openclaw|explorer|intel|marketing
Intel_ai_quote_of_the_day,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/ai_quote_of_the_day.ts:15 (backend/src/services/agentRegistrySeed.ts:257); domain: category/name=openclaw|explorer|intel|marketing
Intel_ai_research_digest,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/ai_research_digest.ts:23 (backend/src/services/agentRegistrySeed.ts:237); domain: category/name=openclaw|explorer|intel|marketing
Intel_ai_tool_of_the_day,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/ai_tool_of_the_day.ts:15 (backend/src/services/agentRegistrySeed.ts:252); domain: category/name=openclaw|explorer|intel|marketing
Intel_ai_video_stream,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/aiVideoStreamSource.ts:35 (backend/src/services/agentRegistrySeed.ts:272); domain: category/name=openclaw|explorer|intel|marketing
Intel_build_breakdown,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/build_breakdown.ts:23 (backend/src/services/agentRegistrySeed.ts:247); domain: category/name=openclaw|explorer|intel|marketing
Intel_claude_code_technique,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/claude_code_technique.ts:15 (backend/src/services/agentRegistrySeed.ts:262); domain: category/name=openclaw|explorer|intel|marketing
Intel_market_intelligence,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/marketIntelligenceSource.ts:28 (backend/src/services/agentRegistrySeed.ts:277); domain: category/name=openclaw|explorer|intel|marketing
Intel_mcp_server_spotlight,behavior,Marketing Intelligence & Brand,registry,cron 45 3 * * * wired at backend/src/services/intel/sources/mcp_server_spotlight.ts:17 (backend/src/services/agentRegistrySeed.ts:267); domain: category/name=openclaw|explorer|intel|marketing
MarketingAutomationArchitect,behavior,Marketing Intelligence & Brand,registry,cron 18 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:297 (backend/src/services/agentRegistrySeed.ts:1899); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category/name=openclaw|explorer|intel|marketing
MarketingPublishingWorker,behavior,Marketing Intelligence & Brand,registry,cron * * * * * wired at backend/src/services/aiOpsScheduler.ts:474 (backend/src/services/agentRegistrySeed.ts:2907); domain: category/name=openclaw|explorer|intel|marketing
OpenclawBrowserWorkerAgent,behavior,Marketing Intelligence & Brand,registry,"cron 15,45 * * * * wired at wrapper runOpenclawBrowserWorker<-backend/src/routes/admin/openclawRoutes.ts:593 (backend/src/services/agentRegistrySeed.ts:1458); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawContentResponseAgent,behavior,Marketing Intelligence & Brand,registry,"cron 10,40 * * * * wired at wrapper runOpenclawContentResponse<-backend/src/services/aiOpsScheduler.ts:227 (backend/src/services/agentRegistrySeed.ts:1429); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawConversationDetectionAgent,behavior,Marketing Intelligence & Brand,registry,"cron 5,35 * * * * wired at wrapper runOpenclawConversationDetection<-backend/src/services/aiOpsScheduler.ts:223 (backend/src/services/agentRegistrySeed.ts:1413); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawEngagementMonitorAgent,behavior,Marketing Intelligence & Brand,registry,"cron 0,30 * * * * wired at wrapper runOpenclawEngagementMonitor<-backend/src/services/aiOpsScheduler.ts:224 (backend/src/services/agentRegistrySeed.ts:1529); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawFollowUpAgent,behavior,Marketing Intelligence & Brand,registry,cron 0 10 * * * wired at wrapper runOpenclawFollowUp<-backend/src/services/aiOpsScheduler.ts:226 (backend/src/services/agentRegistrySeed.ts:1557); domain: category/name=openclaw|explorer|intel|marketing
OpenclawInfraMonitorAgent,behavior,Marketing Intelligence & Brand,registry,cron */5 * * * * wired at wrapper runOpenclawInfraMonitor<-backend/src/services/aiOpsScheduler.ts:231 (backend/src/services/agentRegistrySeed.ts:1489); domain: category/name=openclaw|explorer|intel|marketing
OpenclawLearningOptimizationAgent,behavior,Marketing Intelligence & Brand,registry,cron 0 */4 * * * wired at wrapper runOpenclawLearningOptimization<-backend/src/services/aiOpsScheduler.ts:230 (backend/src/services/agentRegistrySeed.ts:1474); domain: category/name=openclaw|explorer|intel|marketing
OpenclawLinkedInCommentMonitorAgent,behavior,Marketing Intelligence & Brand,registry,"cron 0 8,12,16 * * 1-5 wired at wrapper runOpenclawLinkedInCommentMonitor<-backend/src/services/aiOpsScheduler.ts:233 (backend/src/services/agentRegistrySeed.ts:1588); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawMarketSignalAgent,behavior,Marketing Intelligence & Brand,registry,cron */30 * * * * wired at wrapper runOpenclawMarketSignal<-backend/src/services/aiOpsScheduler.ts:222 (backend/src/services/agentRegistrySeed.ts:1397); domain: category/name=openclaw|explorer|intel|marketing
OpenclawQualityGateAgent,behavior,Marketing Intelligence & Brand,registry,"cron 5,20,35,50 * * * * wired at wrapper runOpenclawQualityGate<-backend/src/services/aiOpsScheduler.ts:228 (backend/src/services/agentRegistrySeed.ts:1445); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawResponseOrchestratorAgent,behavior,Marketing Intelligence & Brand,registry,"cron 10,25,40,55 * * * * wired at wrapper runOpenclawResponseOrchestrator<-backend/src/services/aiOpsScheduler.ts:225 (backend/src/services/agentRegistrySeed.ts:1542); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawSupervisorAgent,behavior,Marketing Intelligence & Brand,registry,cron */2 * * * * wired at wrapper runOpenclawSupervisor<-backend/src/services/aiOpsScheduler.ts:221 (backend/src/services/agentRegistrySeed.ts:1375); domain: category/name=openclaw|explorer|intel|marketing
OpenclawTechResearchAgent,behavior,Marketing Intelligence & Brand,registry,cron 0 6 * * * wired at wrapper runOpenclawTechResearch<-backend/src/services/aiOpsScheduler.ts:232 (backend/src/services/agentRegistrySeed.ts:1504); domain: category/name=openclaw|explorer|intel|marketing
SkoolBrowserWorker,behavior,Marketing Intelligence & Brand,production_only,production row (2026-04-24) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts under this name; Skool outreach cluster
SkoolContentResponse,behavior,Marketing Intelligence & Brand,production_only,production row (2026-04-24) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts; Skool outreach cluster
SkoolNotificationResponse,behavior,Marketing Intelligence & Brand,production_only,production row (2026-04-25) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts; Skool outreach cluster
SkoolQualityGate,behavior,Marketing Intelligence & Brand,production_only,production row (2026-04-24) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts; Skool outreach cluster
SkoolSignalDetection,behavior,Marketing Intelligence & Brand,production_only,production row (2026-04-24) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts; Skool outreach cluster
SkoolSupervisor,behavior,Marketing Intelligence & Brand,production_only,production row (2026-04-24) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts; Skool outreach cluster
Content_Marketing_Agent,retire,Marketing Intelligence & Brand,registry,source_file backend/src/services/agents/contentMarketingAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1181); domain: category/name=openclaw|explorer|intel|marketing
MarketingReportingAgent,retire,Marketing Intelligence & Brand,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1663); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawLinkedInFlowAgent,retire,Marketing Intelligence & Brand,registry,"registered trigger_type=cron 0 9,15 * * 1-5 but no instrumentCronJob/aiOpsScheduler entry and source_file has 0 importers (crossRef.js importRefs); not in 2026-07-31 audit (backend/src/services/agentRegistrySeed.ts:1572); domain: category/name=openclaw|explorer|intel|marketing"
OpenclawAuthorityContentAgent,tool,Marketing Intelligence & Brand,registry,registered cron 0 8 but never scheduled; only reached by manual route routes/admin/openclawRoutes.ts:1717 (backend/src/services/agentRegistrySeed.ts:1514); domain: category/name=openclaw|explorer|intel|marketing
WorkforceMarketingDirector,tool,Marketing Intelligence & Brand,registry,"on_demand, no schedule; manual trigger only (aiOpsScheduler.ts comment ~339; orgRegistry.ts WORKFORCE_AGENT_NAME) (backend/src/services/agentRegistrySeed.ts:2301); domain: category/name=openclaw|explorer|intel|marketing"
AISafetyMonitorAgent,behavior,Platform Automation & Reliability,registry,"cron 2,7,12,17,22,27,32,37,42,47,52,57 * * * * wired at backend/src/services/aiOpsScheduler.ts:312 (backend/src/services/agentRegistrySeed.ts:2045); domain: category=security_ops (platform/ops)"
AccessControlGuardianAgent,behavior,Platform Automation & Reliability,registry,cron 0 5 * * * wired at backend/src/services/aiOpsScheduler.ts:311 (backend/src/services/agentRegistrySeed.ts:2035); domain: category=security_ops (platform/ops)
AgentBehaviorMonitorAgent,behavior,Platform Automation & Reliability,registry,"cron 5,15,25,35,45,55 * * * * wired at backend/src/services/aiOpsScheduler.ts:313 (backend/src/services/agentRegistrySeed.ts:2055); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=security_ops (platform/ops)"
BposCapabilityTicketAutoResolver,behavior,Platform Automation & Reliability,registry,cron 55 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:285 (backend/src/services/agentRegistrySeed.ts:2867); domain: category=operations (platform/ops)
ChatMessageCleanup,behavior,Platform Automation & Reliability,registry,cron 30 3 * * * wired at backend/src/services/schedulerService.ts:2382 (backend/src/services/agentRegistrySeed.ts:190); domain: category=maintenance (platform/ops)
CodeSecurityAuditAgent,behavior,Platform Automation & Reliability,registry,cron 0 3 * * * wired at backend/src/services/aiOpsScheduler.ts:308 (backend/src/services/agentRegistrySeed.ts:2005); domain: category=security_ops (platform/ops)
CoryBrainInitiativeTicketAutoResolver,behavior,Platform Automation & Reliability,registry,cron 40 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:263 (backend/src/services/agentRegistrySeed.ts:2761); domain: category=operations (platform/ops)
CoryEngineTicketAutoResolver,behavior,Platform Automation & Reliability,registry,cron 25 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:262 (backend/src/services/agentRegistrySeed.ts:2727); domain: category=operations (platform/ops)
DependencySecurityAgent,behavior,Platform Automation & Reliability,registry,cron 0 4 * * * wired at backend/src/services/aiOpsScheduler.ts:309 (backend/src/services/agentRegistrySeed.ts:2015); domain: category=security_ops (platform/ops)
InboxCaseSourceCompletionResolver,behavior,Platform Automation & Reliability,registry,cron 19 * * * * wired at backend/src/services/aiOpsScheduler.ts:276 (backend/src/services/agentRegistrySeed.ts:2797); domain: category=operations (platform/ops)
InfrastructureEvolutionArchitect,behavior,Platform Automation & Reliability,registry,cron 22 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:299 (backend/src/services/agentRegistrySeed.ts:1923); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy (platform/ops)
OrchestrationAutoRepairAgent,behavior,Platform Automation & Reliability,registry,"cron 3,8,13,18,23,28,33,38,43,48,53,58 * * * * wired at backend/src/services/aiOpsScheduler.ts:182 (backend/src/services/agentRegistrySeed.ts:404); domain: category=accelerator (platform/ops)"
OrchestrationEcosystemArchitect,behavior,Platform Automation & Reliability,registry,cron 10 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:293 (backend/src/services/agentRegistrySeed.ts:1851); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy (platform/ops)
OrchestrationHealthAgent,behavior,Platform Automation & Reliability,registry,cron */5 * * * * wired at backend/src/services/aiOpsScheduler.ts:170 (backend/src/services/agentRegistrySeed.ts:371); domain: category=accelerator (platform/ops)
PageEventCleanup,behavior,Platform Automation & Reliability,registry,cron 0 3 * * * wired at backend/src/services/schedulerService.ts:2365 (backend/src/services/agentRegistrySeed.ts:146); domain: category=maintenance (platform/ops)
PerformanceAgent,behavior,Platform Automation & Reliability,registry,"internal step of MetaAgentLoop loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=2) (backend/src/services/agentRegistrySeed.ts:662); domain: category=meta (platform/ops)"
PlatformInnovationArchitect,behavior,Platform Automation & Reliability,registry,cron 24 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:300 (backend/src/services/agentRegistrySeed.ts:1935); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy (platform/ops)
PreviewStackReaper,behavior,Platform Automation & Reliability,registry,cron */5 * * * * wired at backend/src/services/schedulerService.ts:2223 (backend/src/services/agentRegistrySeed.ts:157); domain: category=maintenance (platform/ops)
PromptMonitorAgent,behavior,Platform Automation & Reliability,registry,cron */1 * * * * wired at backend/src/services/aiOpsScheduler.ts:181 (backend/src/services/agentRegistrySeed.ts:393); domain: category=accelerator (platform/ops)
PromptOptimizationAgent,behavior,Platform Automation & Reliability,registry,"internal step of MetaAgentLoop loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=2) (backend/src/services/agentRegistrySeed.ts:682); domain: category=meta (platform/ops)"
ProposalCleanupService,behavior,Platform Automation & Reliability,registry,cron 0 2 * * * wired at backend/src/services/aiOpsScheduler.ts:322 (backend/src/services/agentRegistrySeed.ts:2325); domain: category=governance_ops (platform/ops)
RuntimeThreatMonitorAgent,behavior,Platform Automation & Reliability,registry,cron */5 * * * * wired at backend/src/services/aiOpsScheduler.ts:310 (backend/src/services/agentRegistrySeed.ts:2025); domain: category=security_ops (platform/ops)
SecretDetectionAgent,behavior,Platform Automation & Reliability,registry,cron 0 */4 * * * wired at backend/src/services/aiOpsScheduler.ts:307 (backend/src/services/agentRegistrySeed.ts:1995); domain: category=security_ops (platform/ops)
SecurityDirectorAgent,behavior,Platform Automation & Reliability,registry,cron */10 * * * * wired at backend/src/services/aiOpsScheduler.ts:306 (backend/src/services/agentRegistrySeed.ts:1985); domain: category=security_ops (platform/ops)
StaleActionRecovery,behavior,Platform Automation & Reliability,registry,cron */15 * * * * wired at backend/src/services/schedulerService.ts:2236 (backend/src/services/agentRegistrySeed.ts:168); domain: category=maintenance (platform/ops)
SystemResilienceSuperAgent,behavior,Platform Automation & Reliability,registry,"cron 11,41 * * * * wired at backend/src/services/aiOpsScheduler.ts:329 (backend/src/services/agentRegistrySeed.ts:2133); domain: category=dept_super (platform/ops)"
WorkforceTechnologyDirector,behavior,Platform Automation & Reliability,registry,"cron 7,22,37,52 * * * * wired at backend/src/services/aiOpsScheduler.ts:348 (backend/src/services/agentRegistrySeed.ts:2279); domain: category=workforce_director (platform/ops)"
WorkforceTicketAutoResolver,behavior,Platform Automation & Reliability,registry,cron 15 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:252 (backend/src/services/agentRegistrySeed.ts:2704); domain: category=operations (platform/ops)
Analytics_Agent,retire,Platform Automation & Reliability,registry,source_file backend/src/services/agents/intelligence/analyticsAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1321); domain: category=ai_ops (platform/ops)
Data_Intelligence_Agent,retire,Platform Automation & Reliability,registry,source_file backend/src/services/agents/intelligence/dataIntelligenceAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1301); domain: category=ai_ops (platform/ops)
Deployment_Agent,retire,Platform Automation & Reliability,registry,source_file backend/src/services/agents/platform/deploymentAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1279); domain: category=operations (platform/ops)
Performance_Monitoring_Agent,retire,Platform Automation & Reliability,registry,source_file backend/src/services/agents/platform/performanceMonitoringAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1289); domain: category=operations (platform/ops)
PlatformReportingAgent,retire,Platform Automation & Reliability,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1707); domain: category=reporting (platform/ops)"
TicketManagementAgent,retire,Platform Automation & Reliability,registry,registered trigger_type=cron */15 * * * * but no instrumentCronJob/aiOpsScheduler entry and source_file has 0 importers (crossRef.js importRefs); not in 2026-07-31 audit (backend/src/services/agentRegistrySeed.ts:1085); domain: category=operations (platform/ops)
PlatformFixAgent,tool,Platform Automation & Reliability,registry,"on_demand, no schedule, no identity; dispatched via workGraph/capabilityRegistry.ts:89 (backend/src/services/agentRegistrySeed.ts:1075); domain: category=maintenance (platform/ops)"
InboxCaseEngine,unresolved,Platform Automation & Reliability,registry,"identity-only row (agent_type=ticket_creator_identity, on_demand, tools_granted=3, reports_to via ticketCreatorIdentitySeed.ts) but NO system_prompt/persona_version -> fails employee rule; not a schedule and not a plain tool (backend/src/services/agentRegistrySeed.ts:2649); domain: category=operations (platform/ops)"
bpos_orchestrator,unresolved,Platform Automation & Reliability,registry,"identity-only row (agent_type=ticket_creator_identity, on_demand, tools_granted=3, reports_to via ticketCreatorIdentitySeed.ts) but NO system_prompt/persona_version -> fails employee rule; not a schedule and not a plain tool (backend/src/services/agentRegistrySeed.ts:2838); domain: category=operations (platform/ops)"
workforce_intelligence_engine,unresolved,Platform Automation & Reliability,registry,"identity-only row (agent_type=ticket_creator_identity, on_demand, tools_granted=2, reports_to via ticketCreatorIdentitySeed.ts) but NO system_prompt/persona_version -> fails employee rule; not a schedule and not a plain tool (backend/src/services/agentRegistrySeed.ts:2676); NOTE aiOpsScheduler.ts:247 schedules the same source (workforceIntelligenceEngine.ts) under unregistered name WorkforceIntelligence; domain: category=operations (platform/ops)"
ApolloLeadIntelligenceAgent,behavior,"Sales, Enrollment & Subscriptions",registry,cron 0 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:203 (backend/src/services/agentRegistrySeed.ts:452); domain: category=outbound (cold-outreach campaign ops)
ApolloWeeklyEnrollmentAgent,behavior,"Sales, Enrollment & Subscriptions",registry,cron 0 14 * * 1 wired at backend/src/services/aiOpsScheduler.ts:204 (backend/src/services/agentRegistrySeed.ts:468); domain: category=outbound (cold-outreach campaign ops)
AutonomousRampEvaluator,behavior,"Sales, Enrollment & Subscriptions",registry,cron 0 */2 * * * wired at backend/src/services/schedulerService.ts:3133 (backend/src/services/agentRegistrySeed.ts:430); domain: category=outbound (cold-outreach campaign ops)
CampaignEvolutionEngine,behavior,"Sales, Enrollment & Subscriptions",registry,cron 0 */4 * * * wired at backend/src/services/schedulerService.ts:3145 (backend/src/services/agentRegistrySeed.ts:441); domain: category=outbound (cold-outreach campaign ops)
CampaignHealthScanner,behavior,"Sales, Enrollment & Subscriptions",registry,cron */15 * * * * wired at backend/src/services/aiOpsScheduler.ts:162 (backend/src/services/agentRegistrySeed.ts:305); domain: category=outbound (cold-outreach campaign ops)
CampaignOpsSuperAgent,behavior,"Sales, Enrollment & Subscriptions",registry,"cron 3,33 * * * * wired at backend/src/services/aiOpsScheduler.ts:325 (backend/src/services/agentRegistrySeed.ts:2093); domain: category=outbound (cold-outreach campaign ops)"
CampaignQAAgent,behavior,"Sales, Enrollment & Subscriptions",registry,cron 0 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:166 (backend/src/services/agentRegistrySeed.ts:419); domain: category=outbound (cold-outreach campaign ops)
CampaignRepairAgent,behavior,"Sales, Enrollment & Subscriptions",registry,"cron 8,28,48 * * * * wired at backend/src/services/aiOpsScheduler.ts:163 (backend/src/services/agentRegistrySeed.ts:316); domain: category=outbound (cold-outreach campaign ops)"
CampaignSelfHealingAgent,behavior,"Sales, Enrollment & Subscriptions",registry,"cron 15,45 * * * * wired at backend/src/services/aiOpsScheduler.ts:167 (backend/src/services/agentRegistrySeed.ts:483); domain: category=outbound (cold-outreach campaign ops)"
ConversationOptimizationAgent,behavior,"Sales, Enrollment & Subscriptions",registry,cron 0 4 * * * wired at backend/src/services/aiOpsScheduler.ts:165 (backend/src/services/agentRegistrySeed.ts:352); domain: category=outbound (cold-outreach campaign ops)
EmailDigest,behavior,"Sales, Enrollment & Subscriptions",registry,cron 0 * * * * wired at backend/src/services/schedulerService.ts:2423 (backend/src/services/agentRegistrySeed.ts:212); domain: category=outbound (cold-outreach campaign ops)
MandrillOpenClickPoll,behavior,"Sales, Enrollment & Subscriptions",registry,"cron 5,35 * * * * wired at backend/src/services/schedulerService.ts:2330 (backend/src/services/agentRegistrySeed.ts:135); domain: category=outbound (cold-outreach campaign ops)"
NoShowDetector,behavior,"Sales, Enrollment & Subscriptions",registry,cron */15 * * * * wired at backend/src/services/schedulerService.ts:2243 (backend/src/services/agentRegistrySeed.ts:80); domain: category=outbound (cold-outreach campaign ops)
OfferRoutingAgent,behavior,"Sales, Enrollment & Subscriptions",registry,cron 30 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:319 (backend/src/services/agentRegistrySeed.ts:2173); domain: category=outbound (cold-outreach campaign ops)
ScheduledActionsProcessor,behavior,"Sales, Enrollment & Subscriptions",registry,cron */5 * * * * wired at backend/src/services/schedulerService.ts:1726 (backend/src/services/agentRegistrySeed.ts:69); domain: category=outbound (cold-outreach campaign ops)
ContentOptimizationAgent,retire,"Sales, Enrollment & Subscriptions",registry,backend/src/services/agentRegistrySeed.ts:3033-3036 force-disabled every boot (safety); still cron-registered at aiOpsScheduler.ts:164 but skipped by the enabled gate (backend/src/services/agentRegistrySeed.ts:333); domain: category=outbound (cold-outreach campaign ops)
UX_Optimization_Agent,retire,Website Portfolio & Conversion,registry,source_file backend/src/services/agents/platform/uxOptimizationAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1269); domain: category=website_intelligence
WebsiteAutoRepairAgent,retire,Website Portfolio & Conversion,registry,aiOrchestrator.ts wrapper runWebsiteAutoRepair has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts website_unwired (backend/src/services/agentRegistrySeed.ts:758); domain: category=website_intelligence
